cas,patient,sequence,structure,mode,dice,entropie_moyenne,justification,figure
1,2017-110 01-0240-V1MR,FLASH,K1,worst,0.38752052187919617,0.008914032019674778,"Meilleur patient FLASH en moyenne (Dice global 0,82) mais K1 reste faible (0,57) -- la difficulté de K1 persiste-t-elle même sur un cas globalement facile ?",case01_2017-110_01-0240-V1MR_FLASH_K1_worst.png
2,2017-110 01-0240-V1MR,FLASH,VSC,best,0.9638888835906982,0.007462199777364731,"Même patient, sa meilleure structure (VSC, Dice 0,92) -- à quoi ressemble un cas où le modèle est confiant et juste ?",case02_2017-110_01-0240-V1MR_FLASH_VSC_best.png
3,2017-110_01-0226-V1MR,RSSFP,K1,worst,0.21164773404598236,0.014123816043138504,"Pire cas K1 sur les 8 patients couverts (Dice 0,395) -- le pire cas du chapitre.",case03_2017-110_01-0226-V1MR_RSSFP_K1_worst.png
4,2017-110_01-0226-V1MR,RSSFP,MSC,worst,0.44106465578079224,0.015940025448799133,"Même patient, 2e structure la plus faible (MSC, 0,68) -- ce patient est-il globalement difficile, ou seulement pour K1 ?",case04_2017-110_01-0226-V1MR_RSSFP_MSC_worst.png
5,2017-110 01-0229-V1MR,RSSFP,MSC,worst,1.1764704765937495e-07,0.008148802444338799,"Patient dont la corrélation incertitude/compression n'était même pas significative en Phase 3 -- sa structure la plus faible (MSC, 0,50).",case05_2017-110_01-0229-V1MR_RSSFP_MSC_worst.png
6,2017-110 01-0230-V1MR,FLASH,K1,worst,0.40722891688346863,0.005680270027369261,"Patient pilote de toute l'analyse Phase 3 (courbe de compression, cohérence temporelle) -- son pire cas K1.",case06_2017-110_01-0230-V1MR_FLASH_K1_worst.png
7,2017-110 01-0231-V1MR,FLASH,K1,worst,0.430512011051178,0.005423336755484343,"Patient signalé en Phase 3 pour une distance CLAV-K1 anormalement basse (3,0px) ``à vérifier visuellement'' -- jamais fait, à faire ici.",case07_2017-110_01-0231-V1MR_FLASH_K1_worst.png
8,2017-110_01-0223-V1MR,RSSFP,K1,best,0.7956756949424744,0.008559335954487324,"Meilleur cas K1 côté RSSFP (Dice 0,669) -- contraste avec les pires cas ci-dessus.",case08_2017-110_01-0223-V1MR_RSSFP_K1_best.png
9,2017-110_01-0228-V1MR,FLASH,K1,best,0.8251121044158936,0.010483914986252785,"Meilleur cas K1 côté FLASH (Dice 0,676) -- contraste avec les pires cas ci-dessus.",case09_2017-110_01-0228-V1MR_FLASH_K1_best.png
10,2017-110_01-0227-V1MR,RSSFP,K1,worst,0.2733812928199768,0.008612981997430325,"2e pire cas K1 (Dice 0,456) -- confirme-t-il le même type d'erreur que 0226 ?",case10_2017-110_01-0227-V1MR_RSSFP_K1_worst.png
